model,role,order,radius_A,reference,prediction,error
LJ_only,fit,1,3.6,0.038803572837861566,0.021084816417067737,-0.01771875642079383
LJ_only,fit,1,3.85,-0.019030936532425505,0.015415209307520697,0.0344461458399462
LJ_only,fit,1,4.1,-0.003599518022384618,0.010836738538448855,0.014436256560833473
LJ_only,fit,1,4.35,0.02146858940134793,0.007553896507243788,-0.013914692894104142
LJ_only,fit,1,4.6,0.04890475992637511,0.005286088380275485,-0.04361867154609962
LJ_only,fit,1,4.85,0.0728873238939706,0.003733369782001066,-0.06915395411196953
LJ_only,fit,1,5.1,0.06411249670164484,0.002667082317899727,-0.061445414383745116
LJ_only,fit,1,5.35,0.030348200792916127,0.0019286974518211114,-0.028419503341095016
LJ_only,fit,1,5.6,-0.0015713912514412147,0.001411852108645845,0.00298324336008706
LJ_only,fit,1,5.85,-0.016091440568437587,0.0010458238353082854,0.017137264403745873
LJ_only,fit,1,6.1,0.00018576307443612225,0.0007835079969857289,0.0005977449225496067
LJ_only,fit,2,2.1,1.4620422766761552,69.16015821701461,67.69811594033845
LJ_only,fit,2,2.35,5.1144326393308495,13.398413969117543,8.283981329786695
LJ_only,fit,2,2.6,3.649553174018949,2.872865823692595,-0.776687350326354
LJ_only,fit,2,2.85,1.288556908644618,0.624383517195633,-0.664173391448985
LJ_only,fit,2,3.1,0.47181224632751917,0.1111741009939422,-0.36063814533357696
LJ_only,fit,2,3.35,0.09944937903185946,-0.0034842305138819145,-0.10293360954574138
LJ_only,fit,2,3.6,-0.1485032320766139,-0.023009457510274674,0.12549377456633923
LJ_only,fit,2,3.85,-0.10228833603621694,-0.02100037892615583,0.08128795711006111
LJ_only,fit,2,4.1,0.11882979174680557,-0.015589267537321797,-0.13441905928412737
LJ_only,fit,2,4.35,0.09787747011974561,-0.010883987171367212,-0.10876145729111282
LJ_only,fit,2,4.6,0.1215332829234435,-0.007462443408619295,-0.1289957263320628
LJ_only,fit,2,4.85,0.034198968138245744,-0.005111130741447438,-0.03931009887969318
LJ_only,fit,2,5.1,-0.0995321832173856,-0.0035235326360095044,0.0960086505813761
LJ_only,fit,2,5.35,-0.13635440979149863,-0.002453337932609254,0.13390107185888936
LJ_only,fit,2,5.6,-0.11576222668981705,-0.0017277807842656448,0.1140344459055514
LJ_only,fit,2,5.85,0.03898624740440347,-0.0012313196637289826,-0.040217567068132454
LJ_only,fit,2,6.1,0.01863339276840556,-0.0008879229639010118,-0.01952131573230657
LJ_only,excluded,0,2.225,0.7143413571460389,0.6990384347794056,-0.01530292236663322
LJ_only,excluded,0,2.475,0.21239059629627635,0.10926663740950392,-0.10312395888677243
LJ_only,excluded,0,2.725,0.0014416022435731638,-0.010167620688811408,-0.011609222932384571
LJ_only,excluded,0,2.975,-0.06032310043367308,-0.028133426923792015,0.03218967350988107
LJ_only,excluded,0,3.225,-0.06667178808736414,-0.024885427908701848,0.04178636017866229
