state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_10pct,formed,251,253,False,True,False,4.015931347150952,2.4715547068955517,8.800804135209624
loading_10pct,formed,254,268,True,False,False,4.016379898643987,2.4715547762437287,8.800804137054627
loading_10pct,formed,255,269,True,False,False,3.354979532368235,2.4790888874477783,11.094823644591475
loading_10pct,formed,255,304,True,False,False,3.8909282309071664,2.589651003496609,12.187672845062464
loading_10pct,formed,263,273,True,False,False,3.484984267230261,2.43092379119881,11.49484982167646
loading_10pct,formed,263,300,True,True,False,4.673259233222318,2.369247446830471,12.330893031403491
loading_10pct,formed,278,280,True,False,False,3.8985223323008094,2.3777322332261828,9.695192298718688
loading_10pct,formed,279,292,True,True,False,4.673513093018209,2.3692474149811966,12.330893003447336
loading_10pct,formed,282,292,False,True,False,3.485026758943934,2.430923854011982,11.494849796943754
loading_10pct,formed,286,288,False,True,False,3.3545797290502306,2.4790889071602296,11.094823616232812
loading_10pct,formed,287,288,False,True,False,3.8914527431566768,2.589651139036008,12.187672839963462
loading_10pct,topological_min_cut,151,182,True,True,False,3.7039498564439035,2.5170537269992344,0.6767827119089184
loading_10pct,topological_min_cut,151,186,True,False,False,2.3318835085209613,2.5367279508815397,0.7856807780658852
loading_10pct,topological_min_cut,155,190,True,False,False,2.390152606759279,2.5225632529750666,0.14826422768259168
loading_10pct,topological_min_cut,171,206,True,True,False,2.3533645962166774,2.449312855319458,-0.25275768065763143
loading_10pct,topological_min_cut,181,188,True,True,False,3.7032677442540156,2.517053835705891,0.6767826588506403
loading_10pct,topological_min_cut,184,185,True,False,False,2.390282832973422,2.522563202463537,0.14826410245147792
loading_10pct,topological_min_cut,188,189,True,False,False,2.331982232644435,2.536728014467943,0.7856807413202291
loading_10pct,topological_min_cut,192,193,True,True,False,2.3532134545205357,2.4493127928997662,-0.2527577257172155
loading_10pct,topological_min_cut,194,197,True,False,False,4.4563967580024775,2.3814330655870535,0.9827847779240753
loading_10pct,topological_min_cut,198,201,False,False,False,4.35304187083087,2.354484576966583,0.7850885241488527
