run,observable,role,units,target,prediction,scale,normalized_residual
nested_range,v17_opening2.455_energy,heldout,eV/cell,0.7722611869157332,0.7390968936497538,0.07722611869157332,-0.4294439993602598
nested_range,v17_opening2.455_normal_force,heldout,eV/L0,-0.03892592855831557,0.18081752424329536,0.03173805605024358,6.923658224490548
nested_range,v17_opening2.455_Haa,heldout,eV/L0^2,1.5212189106347462,-0.3208360666182569,0.15212189106347462,-12.109072299688835
nested_range,v17_opening2.455_Hxx,heldout,eV/L0^2,0.04446583977668427,-9.897404039062684e-05,0.1,-0.445648138170749
nested_range,v17_opening3.75_energy,heldout,eV/cell,0.7719163228888833,0.8253869972882324,0.07719163228888834,0.6927003978777905
nested_range,v17_opening3.75_normal_force,heldout,eV/L0,0.0,0.027625603870553354,0.03173805605024358,0.8704252026910556
nested_range,v17_opening3.75_Haa,heldout,eV/L0^2,0.0,-0.04885445835757737,0.1,-0.4885445835757736
nested_range,v17_opening3.75_Hxx,heldout,eV/L0^2,0.0,-2.22969937590154e-08,0.1,-2.2296993759015398e-07
nested_range,control_pair_u,exact,eV/basis,0.017190392488739735,0.01719039248873992,0.017190392488739735,1.069671263026655e-14
nested_range,control_pair_v,exact,eV/basis,0.1006934312417533,0.10069343124175362,0.1006934312417533,3.1699100491808278e-15
separate_range,normal_strain_force_ev,exact,eV/strain,0.0,1.4432899320127035e-15,0.1,1.4432899320127035e-14
separate_range,cohesive_ev_atom,exact,eV/atom,3.36,3.360000000000002,0.0672,3.304235192336776e-14
separate_range,C11_GPa,exact,GPa,113.99999999999996,113.99999999999983,5.699999999999998,-2.2438191655582118e-14
separate_range,C12_GPa,exact,GPa,62.000000000000014,61.999999999999915,3.100000000000001,-3.208902677626258e-14
separate_range,C44_GPa,exact,GPa,32.0,32.00000000000022,1.6,1.376676550535194e-13
separate_range,perfect_Haa,fit,eV/L0^2,19.66091286328976,27.85767905196812,1.9660912863289761,4.169066942961282
separate_range,perfect_Hxx,fit,eV/L0^2,4.393593035123306,4.658331110835,0.43935930351233066,0.6025548420058988
separate_range,saddle_energy_at_source_state,fit,eV/cell,0.07624909750742465,0.08849949541879744,0.007624909750742465,1.606628578152014
separate_range,saddle_normal_force_at_source_state,fit,eV/L0,1.4903612010162394e-15,0.10690999698946234,0.03173805605024358,3.3685111911143766
separate_range,fault_energy_at_source_state,fit,eV/cell,0.06670794504308616,0.07853202091035578,0.006670794504308616,1.7725138826615838
separate_range,fault_normal_force_at_source_state,fit,eV/L0,5.29078226360765e-15,-0.09391922688831261,0.03173805605024358,-2.959199099643568
separate_range,saddle_path_force_at_source_state,fit,eV/L0,2.296700476743968e-16,-0.02089315539323001,0.03173805605024358,-0.6582997824490228
separate_range,opening_1.1h_energy,fit,eV/cell,0.05670265774764735,0.05941205941115289,0.005670265774764736,0.47782622034466415
separate_range,opening_1.5h_energy,fit,eV/cell,0.4710312483934004,0.42519679776771985,0.04710312483934004,-0.9730660286767233
separate_range,opening_2h_energy,fit,eV/cell,0.7060534019484034,0.6419870543808051,0.07060534019484034,-0.9073867131126737
separate_range,opening_40h_energy,fit,eV/cell,0.7719163228888833,0.8169256624027109,0.07719163228888834,0.5830857332486623
separate_range,direct_quarter_energy,fit,eV/cell,0.117221996542065,0.10731887254749833,0.0117221996542065,-0.8448178914111003
separate_range,direct_half_energy,fit,eV/cell,0.26732847628894163,0.26947710527758784,0.026732847628894163,0.08037411571238162
separate_range,oblique_energy,fit,eV/cell,0.13339289745734875,0.1202973228911397,0.013339289745734876,-0.9817295235225135
